iter	Logloss
0	0.674216592
1	0.6586838558
2	0.6384865354
3	0.625753207
4	0.6059369128
5	0.5948142474
6	0.5736176296
7	0.5651759233
8	0.5567577711
9	0.5393206121
10	0.5250702517
11	0.5201571074
12	0.5073327586
13	0.4970619453
14	0.4878776647
15	0.4826101501
16	0.4780817415
17	0.4641013049
18	0.4607761046
19	0.4568656719
20	0.4477124353
21	0.4453818924
22	0.4425210125
23	0.4396196662
24	0.4372627777
25	0.4265232727
26	0.4246585223
27	0.4219797983
28	0.4198709819
29	0.4174159813
30	0.414612427
31	0.4099148628
32	0.4019253106
33	0.4005132723
34	0.3988020244
35	0.3973389796
36	0.3924001814
37	0.3858024466
38	0.3806099277
39	0.3794335305
40	0.3735678953
41	0.3679900568
42	0.3635814056
43	0.3621550404
44	0.3608036458
45	0.3597295176
46	0.3587795945
47	0.3576185195
48	0.351545288
49	0.3504217215
50	0.3492289927
51	0.3483385195
52	0.3474016747
53	0.3463569268
54	0.3455442356
55	0.3404059161
56	0.3373314001
57	0.3365965347
58	0.3339566816
59	0.3330732638
60	0.3323381075
61	0.3303928749
62	0.3298782036
63	0.3260335822
64	0.3250267336
65	0.3242968951
66	0.3211143521
67	0.3202564767
68	0.3164267651
69	0.3153919228
70	0.3146643739
71	0.3116591622
72	0.3111233403
73	0.3078783936
74	0.3073039247
75	0.3050069123
76	0.3044959837
77	0.3016753989
78	0.3011377308
79	0.2989448636
80	0.2983653744
81	0.2979864407
82	0.2972773517
83	0.2967385218
84	0.2960522134
85	0.2953981169
86	0.2948900921
87	0.2945714199
88	0.2915531204
89	0.2899418908
90	0.289403569
91	0.2889481189
92	0.2884829961
93	0.2859035867
94	0.2855413636
95	0.2853011107
96	0.2849711896
97	0.2845346984
98	0.284198502
99	0.2818658657
100	0.2812804838
101	0.2808055914
102	0.2804856144
103	0.2801921502
104	0.2798692215
105	0.2777849797
106	0.2772070486
107	0.2767076476
108	0.2763110295
109	0.2738982518
110	0.2735403872
111	0.2713748031
112	0.2710612555
113	0.2707152188
114	0.2703600423
115	0.2699937282
116	0.2696736698
117	0.2691397181
118	0.2687012451
119	0.2682955299
120	0.2678460446
121	0.2675861254
122	0.2671517039
123	0.2645417554
124	0.2641883346
125	0.2638171083
126	0.2635594425
127	0.2632805046
128	0.2630140003
129	0.2626817691
130	0.2623881785
131	0.2620496019
132	0.2617233667
133	0.2614299931
134	0.2611981297
135	0.2609879843
136	0.2606755448
137	0.2605031496
138	0.2585300154
139	0.2581744509
140	0.2579520849
141	0.2564884933
142	0.2560951559
143	0.255892731
144	0.2555415544
145	0.2553688806
146	0.2550281202
147	0.254749017
148	0.2543916356
149	0.2540441856
150	0.2536818836
151	0.2523281948
152	0.2520477676
153	0.2501949449
154	0.2499135663
155	0.2495965715
156	0.249395909
157	0.2489981652
158	0.2487101989
159	0.2484859128
160	0.2482214694
161	0.2479155222
162	0.2476488008
163	0.2472376017
164	0.2470232236
165	0.2467714287
166	0.2453219798
167	0.2451369192
168	0.2448647757
169	0.2445435162
170	0.2442700727
171	0.2440239067
172	0.2437713501
173	0.2434854767
174	0.243243497
175	0.2415329484
176	0.2401259144
177	0.2383936547
178	0.2380683918
179	0.2379026489
180	0.2375638414
181	0.2373348097
182	0.2370617004
183	0.2368378144
184	0.2352402663
185	0.2337843486
186	0.2325081265
187	0.2322260245
188	0.2312029771
189	0.2309892772
190	0.2307345036
191	0.2305013971
192	0.2302299497
193	0.2299967617
194	0.2285592513
195	0.2283493303
196	0.2280520626
197	0.227834493
198	0.2263888139
199	0.2261628129
200	0.225948841
201	0.2256656643
202	0.2252421226
203	0.225023272
204	0.224821321
205	0.2245550907
206	0.2244212127
207	0.2241956489
208	0.2239632638
209	0.2224256122
210	0.2220959328
211	0.2218548616
212	0.2216106592
213	0.2213966763
214	0.2211869811
215	0.220838572
216	0.2206923191
217	0.2204406526
218	0.220239295
219	0.2200341707
220	0.2198671094
221	0.2196800661
222	0.2194369772
223	0.2182170769
224	0.2179838364
225	0.2177107708
226	0.2175341814
227	0.2173645263
228	0.2171939649
229	0.2168581116
230	0.2166974829
231	0.2165159153
232	0.2163684885
233	0.2161668774
234	0.2159442841
235	0.2156625029
236	0.2154835156
237	0.2152919246
238	0.2150846061
239	0.2149349782
240	0.2135792458
241	0.2127888344
242	0.2125382819
243	0.2123824123
244	0.2121603259
245	0.2119895599
246	0.2117381333
247	0.2115171482
248	0.2113697607
249	0.2112133656
250	0.2110426255
251	0.2108601733
252	0.2106497647
253	0.2104861297
254	0.2103268086
255	0.2100769798
256	0.2099468035
257	0.2097633875
258	0.2094909256
259	0.2092998874
260	0.20909588
261	0.2088690947
262	0.208703667
263	0.2085633701
264	0.2083551445
265	0.2082406046
266	0.2080331613
267	0.2079014612
268	0.2069564982
269	0.2067495027
270	0.2066083049
271	0.2063561638
272	0.2061900242
273	0.2059337778
274	0.2057777588
275	0.2056322622
276	0.2054243333
277	0.205239216
278	0.2050519046
279	0.2046658687
280	0.204451142
281	0.2042213797
282	0.2040559955
283	0.2038372627
284	0.2036385013
285	0.2034643481
286	0.2033473038
287	0.2031739361
288	0.2030497246
289	0.2029168667
290	0.2027674315
291	0.2025995248
292	0.2023746182
293	0.2021405124
294	0.2020508469
295	0.2019030383
296	0.2017962943
297	0.2015899552
298	0.2013673133
299	0.2011744638
