iter	Passed	Remaining
0	2	884
1	5	831
2	8	792
3	10	808
4	14	872
5	18	890
6	21	899
7	23	871
8	25	838
9	28	825
10	30	808
11	33	793
12	35	777
13	37	771
14	40	762
15	42	747
16	44	736
17	47	738
18	49	734
19	51	724
20	54	724
21	57	726
22	61	746
23	64	745
24	67	746
25	70	739
26	72	733
27	74	727
28	77	723
29	79	715
30	82	713
31	84	707
32	86	700
33	88	695
34	91	689
35	93	686
36	96	686
37	99	683
38	102	682
39	104	677
40	108	687
41	111	686
42	114	684
43	116	678
44	119	678
45	121	672
46	124	671
47	127	668
48	129	663
49	131	658
50	133	654
51	136	650
52	138	647
53	141	646
54	144	642
55	147	641
56	149	638
57	152	636
58	155	634
59	158	632
60	160	630
61	163	627
62	166	624
63	168	620
64	170	615
65	173	614
66	175	610
67	177	607
68	180	603
69	182	600
70	184	595
71	187	594
72	190	591
73	192	589
74	195	587
75	198	585
76	201	583
77	204	582
78	207	580
79	210	579
80	212	575
81	215	571
82	217	568
83	219	565
84	222	561
85	224	558
86	226	555
87	228	551
88	230	547
89	233	544
90	236	542
91	238	540
92	241	537
93	244	535
94	247	533
95	249	531
96	252	529
97	255	526
98	258	524
99	260	520
100	262	517
101	265	515
102	268	512
103	270	510
104	273	507
105	275	504
106	277	500
107	279	497
108	282	495
109	285	493
110	288	491
111	291	489
112	294	487
113	296	484
114	300	482
115	303	481
116	306	478
117	308	476
118	310	472
119	313	469
120	315	466
121	317	463
122	319	460
123	322	457
124	324	454
125	326	451
126	328	448
127	331	446
128	334	443
129	337	440
130	340	438
131	343	436
132	346	434
133	348	432
134	351	429
135	354	427
136	356	423
137	358	420
138	361	418
139	363	415
140	365	412
141	368	409
142	370	406
143	372	403
144	374	400
145	376	397
146	380	396
147	383	393
148	385	391
149	388	388
150	391	385
151	393	383
152	396	381
153	399	378
154	402	376
155	404	373
156	406	370
157	409	368
158	412	365
159	414	362
160	416	359
161	418	356
162	420	353
163	422	350
164	425	347
165	428	345
166	430	343
167	433	340
168	436	338
169	438	335
170	441	333
171	444	330
172	447	328
173	449	325
174	452	323
175	454	320
176	457	318
177	460	315
178	462	312
179	464	309
180	466	306
181	469	304
182	471	301
183	474	299
184	477	296
185	479	293
186	482	291
187	484	288
188	487	286
189	490	284
190	493	281
191	496	279
192	498	276
193	500	273
194	502	270
195	505	268
196	507	265
197	510	262
198	512	259
199	514	257
200	516	254
201	518	251
202	521	249
203	524	246
204	527	244
205	530	242
206	533	239
207	535	236
208	538	234
209	541	231
210	543	229
211	545	226
212	547	223
213	550	221
214	552	218
215	555	215
216	557	213
217	560	210
218	562	208
219	564	205
220	566	202
221	570	200
222	572	197
223	575	195
224	578	192
225	581	190
226	585	188
227	587	185
228	591	183
229	593	180
230	596	178
231	598	175
232	601	172
233	603	170
234	605	167
235	608	164
236	610	162
237	612	159
238	614	156
239	617	154
240	620	151
241	623	149
242	626	146
243	629	144
244	632	142
245	635	139
246	638	136
247	640	134
248	642	131
249	645	129
250	648	126
251	650	123
252	652	121
253	655	118
254	657	116
255	660	113
256	662	110
257	665	108
258	667	105
259	670	103
260	673	100
261	676	98
262	681	95
263	683	93
264	686	90
265	688	88
266	691	85
267	694	82
268	696	80
269	699	77
270	701	75
271	703	72
272	706	69
273	708	67
274	711	64
275	715	62
276	718	59
277	721	57
278	724	54
279	727	51
280	730	49
281	732	46
282	734	44
283	737	41
284	740	38
285	742	36
286	744	33
287	747	31
288	749	28
289	752	25
290	754	23
291	756	20
292	759	18
293	762	15
294	766	12
295	768	10
296	771	7
297	775	5
298	778	2
299	780	0
